date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:08	712/712	---M--	200	added ('OK')	image/png	etag:%222c8-571b0df448f52%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/address-book.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/address-book.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:08	841/841	---M--	200	added ('OK')	image/png	etag:%22349-571b0df19ad4e%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/alarm-clock.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/alarm-clock.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:09	694/694	---M--	200	added ('OK')	image/png	etag:%222b6-571b0df19c09e%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/anchor.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/anchor.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:09	544/544	---M--	200	added ('OK')	image/png	etag:%22220-571b0df00927b%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/application-image.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/application-image.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:09	590/590	---M--	200	added ('OK')	image/png	etag:%2224e-571b0df0057e4%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/arrow.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/arrow.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:09	682/682	---M--	200	added ('OK')	image/png	etag:%222aa-571b0dee51a89%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/asterisk.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/asterisk.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:10	705/705	---M--	200	added ('OK')	image/png	etag:%222c1-571b0dee295df%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/auction-hammer.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/auction-hammer.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:10	674/674	---M--	200	added ('OK')	image/png	etag:%222a2-571b0de95367c%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/balloon.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/balloon.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:10	717/717	---M--	200	added ('OK')	image/png	etag:%222cd-571b0dec4ac7a%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/balloon-buzz.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/balloon-buzz.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:10	691/691	---M--	200	added ('OK')	image/png	etag:%222b3-571b0deb01260%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/balloon-facebook.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/balloon-facebook.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
